freq,word
0,'s
0,and
0,how
0,make
0,of
0,the
0,to
1,14
1,16
1,18
1,19
1,23
1,29
1,2nd
1,30
1,33
1,3rd
1,50
1,59
1,68
1,9mm
1,accessories
1,across
1,afp
1,ak-47
1,all
1,almost
1,america
1,american
1,ammo
1,an
1,anarchists
1,anarchy
1,anon
1,anti-tank
1,anyone
1,anything
1,approach
1,armed
1,arsenal
1,art
1,aussie
1,back
1,bible
1,big
1,black
1,blade
1,bomb
1,bombs
1,brb
1,bsp
1,building
1,busted
1,buying
1,by
1,c-4
1,care
1,catalog
1,caught
1,chemistry
1,cia
1,claymore
1,cocktail
1,combat
1,complete
1,complicated
1,cow
1,dictionary
1,digest
1,diy
1,down-to-earth
1,drugs
1,dw
1,dynamite
1,exotic
1,expedient
1,famous
1,fertilizer
1,fester
1,field-manufactured
1,fired
1,first
1,flame
1,folsom
1,gas
1,get
1,give
1,grenade
1,grenades
1,guides
1,gunpowder
1,guy
1,hand
1,handbook
1,handgun
1,handler
1,hidden
1,home-built
1,ill
1,incendiaries
1,kalashnikov
1,kid
1,kitchen
1,knife
1,knives
1,knows
1,launchers
1,le
1,liberator
1,lighter
1,listing
1,man
1,manual
1,manuals
1,me
1,megapack
1,mines
1,molotov
1,money
1,new
1,next
1,ok
1,on
1,pay
1,poor
1,pouder
1,powell
1,ppm
1,prepper
1,printing
1,prison
1,procedures
1,prod
1,propellants
1,purchasing
1,rdx
1,recipe
1,reconciling
1,repair
1,rights
1,rpg
1,rtf
1,rules
1,sabotage
1,self-defense
1,seller
1,selling
1,semtex
1,shocker
1,shotgun
1,shoulder
1,silencers
1,simple
1,sister
1,so
1,standard
1,style
1,submachine
1,suppressor
1,tactical
1,tactics
1,template
1,thermite
1,this
1,thrower
1,tool
1,trace
1,ugly
1,ultimate
1,unarmed
1,uncle
1,version
1,vol
1,want
1,who
1,why
1,william
1,winchester
1,with
1,would
1,youve
2,3d
2,about
2,advanced
2,ammunition
2,books
2,buy
2,c4
2,caching
2,do-it-yourself
2,edition
2,free
2,from
2,got
2,is
2,iv
2,making
2,modern
2,own
2,pack
2,step
2,super
2,techniques
2,underground
2,weapon
2,your
3,fighting
3,gunsmithing
3,home
3,munitions
3,street
3,survival
3,workshop
4,book
4,firearms
4,for
5,guns
5,improvised
6,anarchist
8,cookbook
8,homemade
9,explosives
9,guide
11,gun
13,weapons
