freq,word,exfreq,LL,sig
2,edition,49,0,Not significant
2,3rd,14,0,Not significant
1,Handbook,12,0,Not significant
2,or,43,0,Not significant
1,collection,31,0,Not significant
7,with,122,0,Not significant
1,Psilocybin,19,0,Not significant
1,Almost,4,0,Not significant
1,etc,2,1,Not significant
1,Of,2,1,Not significant
1,BIG,2,1,Not significant
1,Delicious,2,1,Not significant
1,Free,3,1,Not significant
1,Recipes,2,1,Not significant
1,Pot,2,1,Not significant
9,Drugs,73,1,Not significant
1,extract,1,2,Not significant
13,of,263,2,Not significant
13,for,259,2,Not significant
2,4th,6,2,Not significant
7,make,160,2,Not significant
2,͠≖,7,2,Not significant
2,͜ʖ͠≖,6,2,Not significant
2,yourself,6,2,Not significant
2,Mushroom,6,2,Not significant
1,Ayahuasca,1,2,Not significant
2,World,5,2,Not significant
2,Medical,4,3,Not significant
4,'s,130,4,0.05
2,Gold,2,5,0.05
2,alcohol,2,5,0.05
2,An,2,5,0.05
2,Ebook,2,5,0.05
1,impregnate,0,5,0.05
2,Definitive,2,5,0.05
1,syntheses,0,5,0.05
1,fester,0,5,0.05
1,Whole,0,5,0.05
1,Advanced,0,5,0
1,Shake,0,5,0.05
1,Aliphadic_Acid_Anhydrides_-_GB_Patent_0299342,0,5,0
1,BONUS,0,5,0.05
1,Bake,0,5,0.05
1,Beginners,0,5,0.05
1,COOKBOOKS,0,5,0.05
1,Catalog,0,5,0.05
1,Cheap,0,5,0.05
1,Closet,0,5,0.05
1,Synthese,0,5,0.05
1,Dummies,0,5,0.05
1,EASY,0,5,0.05
1,Ed,0,5,0.05
1,Edibles,0,5,0.05
1,Culture,0,5,0.05
1,Now,0,5,0.05
1,Popular,0,5,0.05
1,PICS,0,5,0.05
1,One,0,5,0.05
1,Extraction,0,5,0.05
1,Everyday,0,5,0.05
1,Most,0,5,0.05
1,Manufacturer,0,5,0.05
1,Favorites,0,5,0.05
1,Introductory,0,5,0.05
1,For,0,5,0.05
1,Fester,0,5,0.05
2,Genetics,1,6,0.01
2,cocaine,1,6,0.01
2,Big,1,6,0.01
8,and,241,6,0.01
4,books,9,6,0.05
2,Bud,1,6,0.01
4,Reference,5,9,0.01
3,Grower,2,9,0.01
3,Narcotics,2,9,0.01
3,Otto,2,9,0.01
3,Snow,2,9,0.01
2,SOURCES,0,10,0.01
2,Remaking,0,10,0.01
2,Purify,0,10,0.01
2,pics,0,10,0.01
6,Mushrooms,12,10,0.01
2,SYNTHESIS,0,10,0.01
2,Practically,0,10,0.01
2,Pictures,0,10,0.01
2,Profess,0,10,0.01
2,Science,0,10,0.01
2,Tryptamine,0,10,0.01
2,Synthesis-Sources-Easy,0,10,0.01
2,Than,0,10,0.01
2,oz,0,10,0.01
2,ULTIMATE,0,10,0.01
2,Uncle,0,10,0.01
2,Very,0,10,0.01
2,WASH,0,10,0.01
2,With,0,10,0.01
2,cookbooks,0,10,0.01
2,Photos,0,10,0.01
2,Step-by-Step,0,10,0.01
2,Paperboard,0,10,0.01
2,Survival,0,10,0.01
2,PRODUCTION,0,10,0.01
2,Everything,0,10,0.01
2,E-book,0,10,0.01
2,Cultivator,0,10,0.01
2,Cultivation,0,10,0.01
2,Crack,0,10,0.01
2,Cooking,0,10,0.01
2,Clash,0,10,0.01
2,Clandestine,0,10,0.01
2,Civilizations,0,10,0.01
2,COMPLETE,0,10,0.01
2,COMMONS,0,10,0.01
2,CLEAN,0,10,0.01
2,CHEMICALS,0,10,0.01
2,Paper,0,10,0.01
2,Breeders,0,10,0.01
2,Basics,0,10,0.01
2,Aficionad,0,10,0.01
2,ANY,0,10,0.01
2,A-Z,0,10,0.01
2,FROM,0,10,0.01
2,FULL,0,10,0.01
2,Buds,0,10,0.01
2,GIGAPACK,0,10,0.01
2,LSD-25,0,10,0.01
2,Manufacturing,0,10,0.01
2,Indoor/Outdoor,0,10,0.01
2,Over,0,10,0.01
2,Method,0,10,0.01
2,Freebase,0,10,0.01
2,MAKING,0,10,0.01
2,It,0,10,0.01
2,PICTURES,0,10,0.01
2,Indoor,0,10,0.01
2,IMPURTIES,0,10,0.01
2,Horticulture,0,10,0.01
2,Order,0,10,0.01
2,HOMEMADE,0,10,0.01
2,Growers,0,10,0.01
2,Greg,0,10,0.01
2,Green,0,10,0.01
2,Making,0,10,0.01
2,Instructional,0,10,0.01
3,Time,1,11,0.001
3,Open,1,11,0.001
1,from,123,11,0.001
3,8th,1,11,0.001
3,Great,1,11,0.001
1,in,127,12,0.001
4,Cookbook,2,13,0.001
5,DRUGS,5,13,0.001
5,at,4,14,0.001
3,First,0,15,0.0001
3,AT,0,15,0.0001
3,ALL,0,15,0.0001
3,Laboratory,0,15,0.0001
3,Methamphetamine,0,15,0.0001
3,HOME,0,15,0.0001
3,Contemporary,0,15,0.0001
6,PACK,6,16,0.0001
4,Manual,1,16,0.0001
4,Overview,1,16,0.0001
4,Syntheses,1,16,0.0001
6,GUIDES,4,18,0.0001
8,Drug,8,21,0.0001
4,Fast,0,21,0.0001
4,Speed,0,21,0.0001
4,Shipping,0,21,0.0001
4,Practical,0,21,0.0001
4,Less,0,21,0.0001
4,COCAINE,0,21,0.0001
4,Edition,0,21,0.0001
4,E-books,0,21,0.0001
4,Collection,0,21,0.0001
6,Heroin,2,23,0.0001
6,Tutorials,2,23,0.0001
10,DRUG,13,23,0.0001
31,to,922,25,0.0001
7,Magic,3,25,0.0001
6,PSYCHEDELIC,1,26,0.0001
6,Easy,1,26,0.0001
5,Chemist,0,26,0.0001
5,Home,0,26,0.0001
5,Organic,0,26,0.0001
6,HEROIN,0,31,0.0001
6,eBook,0,31,0.0001
6,SPEED,0,31,0.0001
6,MUSHROOMS,0,31,0.0001
6,MEGAPACK,0,31,0.0001
6,GROWING,0,31,0.0001
6,GHB,0,31,0.0001
6,Elite,0,31,0.0001
8,Pack,2,32,0.0001
9,Alcohol,4,32,0.0001
7,Manufacture,0,37,0.0001
10,Complete,3,39,0.0001
2,the,420,46,0.0001
11,GUIDE,1,51,0.0001
11,Chemistry,1,51,0.0001
10,Bible,0,53,0.0001
34,The,75,56,0.0001
17,DMT,10,56,0.0001
18,LSD,10,60,0.0001
13,Growing,1,61,0.0001
16,Cocaine,4,65,0.0001
13,PHOTOS,0,68,0.0001
22,Guide,15,68,0.0001
14,Synthesis,0,74,0.0001
20,Cannabis,5,81,0.0001
16,WITH,0,84,0.0001
16,eBooks,0,84,0.0001
16,BANNED,0,84,0.0001
21,Secrets,4,90,0.0001
31,Marijuana,20,99,0.0001
22,MDMA,2,103,0.0001
21,Meth,0,111,0.0001
30,HOW,11,113,0.0001
30,TO,11,113,0.0001
27,Amphetamine,1,134,0.0001
27,Grow,1,134,0.0001
28,MAKE,0,148,0.0001
69,To,2,348,0.0001
79,Make,0,419,0.0001
99,How,11,455,0.0001
264,,0,1400,0.0001
